SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),
142,Jharkhand ,Ramgarh,RAJRAPPA,1.4,CCL,Coal,G,OC,23.621,85.6878,"Google Maps: https://www.google.com/maps/place/Rajrappa+Coal+Washery,+Sewai,+Jharkhand+829110,+India/@23.6211719,85.6873121,18z/data=!4m5!3m4!1s0x39f45c1ce4010def:0x1d1c381939a85551!8m2!3d23.6210338!4d85.6877869",Approximate: coordinates of Rajrappa Coal Washery,
143,Jharkhand ,Ramgarh,West Bokaro (CAPTIVE),5.303,TSL,Coal,P,OC,23.7927473,85.55423096,"Google Maps: https://www.google.com/maps/place/Central+Store,+West+Bokaro,+Tata+Steel/@23.7903754,85.5524545,1428m/data=!3m1!1e3!4m8!1m2!2m1!1sTATA+Steel+Ltd.,+West+Bokaro+Division,+PO+Ghatotand,+Dist+Ramgarh+825314,+JHARKHAND+!3m4!1s0x0:0xd17572a422e3bec7!8m2!3d23.7924979!4d85.5541313",Approximate: coordinates of West Bokaro Central Store,
144,Jharkhand ,Hazaribagh,URIMARI,0.01,CCL,Coal,G,UG,23.6939,85.3108,"Google Maps: https://www.google.com/maps/place/Urimari+UG+Manager+Office+Rd,+Urimari,+Jharkhand+825311,+India/@23.6937884,85.3105572,19z/data=!4m5!3m4!1s0x39f4952adbc27681:0x94134c53f469cff5!8m2!3d23.6937835!4d85.3111044",Approximate: coordinates of Urimari UG Manager Office,
145,Jharkhand ,Hazaribagh,URIMARI ,1.04,CCL,Coal,G,OC,23.6931,85.3132,"Google Maps: https://www.google.com/maps/place/DAV+PUBLIC+SCHOOL,+URIMARI,+HAZARIBAGH/@23.6927274,85.310737,17z/data=!4m13!1m7!3m6!1s0x39f4952ab28fd303:0x313868ef208e4f7!2sUrimari,+Jharkhand+825311,+India!3b1!8m2!3d23.6933247!4d85.3129755!3m4!1s0x39f4952abaaaaaab:0x929eaa56f88db4b2!8m2!3d23.6933242!4d85.3129752",Approximate: coordinates of public school in Urimari,
146,Jharkhand ,Hazaribagh,N. URIMARI(BIRSA),2.82,CCL,Coal,G,OC,23.6994,85.2975,"Environment Clearance, Brief Summary of North Urimari OCP: http://www.environmentclearance.nic.in/writereaddata/Online/TOR/06_Jun_2018_121326437PHQ2YTXNAnnexure_Briefsummaryofproject.pdf",Exact,
147,Jharkhand ,Hazaribagh,GIDI 'A',0.11,CCL,Coal,G,OC,23.6833,85.3583,Environmental Statement of Gidi 'A' OCP for 2016-17: https://www.centralcoalfields.in/pdfs/sutbs/envrmnt/GIDI_A_972.pdf,Exact,
148,Jharkhand ,Hazaribagh,GIDI 'C' ,0.42,CCL,Coal,G,OC,23.6967,85.3958,Environmental Statement of New Gidi 'C' OCP for 2015-16: https://www.centralcoalfields.in/pdfs/sutbs/envrmnt/ES%2015-16%20GIDIC.pdf ,Exact,
149,Jharkhand ,Hazaribagh,RELIGARA,1.4,CCL,Coal,G,OC,23.8617,85.5569,Environmental Statement of Religara Colliery for 2015-16: https://www.centralcoalfields.in/pdfs/sutbs/envrmnt/religara_1516.pdf,Exact,
150,Jharkhand ,Hazaribagh,TAPIN,0.5,CCL,Coal,G,OC,23.8306,85.5028,Tapin OCP 2011 Land Restoration/Reclamation Monitoring: https://www.centralcoalfields.in/sutbs/pdf/env_reclam/Tapin%20OCP_2011.pdf,Exact,
151,Jharkhand ,Hazaribagh,TAPIN SOUTH ,0.32,CCL,Coal,G,OC,23.8329,85.4729,"Google Maps: https://www.google.com/maps/place/Tapin+South+Mines/@23.8325761,85.4706662,682m/data=!3m1!1e3!4m5!3m4!1s0x39f48f34338fb2c7:0x556055ede2150fb!8m2!3d23.832823!4d85.4729277",Exact,
152,Jharkhand ,Hazaribagh,Pakri Barwadih Coal Mine Project (CAPTIVE),9.42,NTPC ,Coal,G,OC,23.915,85.1708,EIA Study for North-West Quarry of Pakri Barwadih Coal Mine Block: http://environmentclearance.nic.in/writereaddata/Online/TOR/11_Oct_2018_1657423379KIU3JFCProposedTOR.pdf,Exact,
153,Jharkhand ,Hazaribagh,Dumri Coal mine (CAPTIVE),0,HIL,Coal,P,OC,23.9049,85.0815,Dumri Coal Block Summary,Exact,
154,Jharkhand ,Bokaro,Bermo coal mine (CAPTIVE),0.047,DVC ,Coal,G,OC,23.7843,85.9634,"Google Maps: https://www.google.com/maps/place/DVC+BERMO+MINES/@23.7842941,85.9636033,17.98z/data=!4m12!1m6!3m5!1s0x39f414937748c823:0xa29f4e9308a055b5!2sColliery+Dispensary!8m2!3d23.7845827!4d85.956701!3m4!1s0x39f4148d1cc6876f:0x42e7f915c4acc376!8m2!3d23.7842894!4d85.9634404",Exact,
155,Jharkhand ,Bokaro,GOVINDPUR,0.06,CCL,Coal,G,UG,23.80210466,85.87116633,"Google Maps: https://www.google.com/maps/place/CCL+Govindpur+Project/@23.8019378,85.8681837,845m/data=!3m2!1e3!4b1!4m5!3m4!1s0x39f46b8ad9ca45d9:0xf73c1cefa1d5e974!8m2!3d23.8019378!4d85.8703724",Exact,
156,Jharkhand ,Bokaro,KARO SPL,0,CCL,Coal,G,UG,23.471,85.5838,EIA & Environmental Management Plan for Karo OCP Exp. and Karo Washery: http://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=LKkRglPZ6wli6NYMR3V0ZrhHIG2d+3+G8B64ngSlU77RBRlaEXiZFvbIzowV3GuR9VnVFzzbLEFtr54p2x050gwnLRwoNBUAxDIjtcmwu7TD3jIXtGcbflh13dCd0iMz&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzUeqEISsDpNmaozay3MPM7v,Exact,
157,Jharkhand ,Bokaro,DHORI KHAS,0.1,CCL,Coal,G,UG,23.774,86.0144,Mine Closure Report for Dhori Khas Under Ground Project: http://www.mkpatna.in/MinePlan/MCP%20Dhori%20Khas%20UGP%200_166%20MTY.pdf,Exact,
158,Jharkhand ,Bokaro,KATHARA,0.13,CCL,Coal,G,OC,23.764,85.865,EIA & EMP of Kathara OCP: http://environmentclearance.nic.in/writereaddata/EIA/91127121612101482-2008.pdf,Exact,
159,Jharkhand ,Bokaro,JARANGDIH,0.88,CCL,Coal,G,OC,23.795,86.4122,Final Mine Closure Report for Jarangdih Open Cast Project: http://www.mkpatna.in/MinePlan/Mine%20Closure%20Jarangdih%20OCP%20Latest.pdf,Exact,
160,Jharkhand ,Bokaro,GOVINDPUR PH.II,1.84,CCL,Coal,G,OC,23.8056,85.8694,Govindpur PH-II OCP 2011 Land Restoration/Reclamation Monitoring: https://www.centralcoalfields.in/hindi/sutbs/pdf/env_reclam/Govindpur%20ph-II%20OCP-11-12.pdf,Exact,
161,Jharkhand ,Bokaro,BOKARO,0.21,CCL,Coal,G,OC,23.79102905,85.97790654,"Google Maps: https://www.google.com/maps/place/karo+mine/@23.7902437,85.973497,845m/data=!3m1!1e3!4m5!3m4!1s0x39f41462f8209767:0x9ac65bd5fe12b804!8m2!3d23.7913923!4d85.9732395",Approximate: nearby area,
162,Jharkhand ,Bokaro,KARO - I,3.27,CCL,Coal,G,OC,23.4702,85.5727,EIA & Environmental Management Plan for Karo OCP Exp. and Karo Washery: http://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=LKkRglPZ6wli6NYMR3V0ZrhHIG2d+3+G8B64ngSlU77RBRlaEXiZFvbIzowV3GuR9VnVFzzbLEFtr54p2x050gwnLRwoNBUAxDIjtcmwu7TD3jIXtGcbflh13dCd0iMz&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzUeqEISsDpNmaozay3MPM7v,Exact,
163,Jharkhand ,Bokaro,KARGALI,0,CCL,Coal,G,OC,23.7699,85.9904,Pre-Feasibility Report of Kargali OCP: http://environmentclearance.nic.in/writereaddata/Online/TOR/13_Apr_2018_225038640NBYUK3GLAnnexure-PrefeasibilityReportofKargaliOCP.pdf,Exact,
164,Jharkhand ,Bokaro,AKK OCP,4.45,CCL,Coal,G,OC,23.7905,85.9198,"Google Maps: https://www.google.com/maps/place/AKK+OCP+PIT+office/@23.7915223,85.9147498,15.92z/data=!4m5!3m4!1s0x39f46b52a11928e7:0xdae06b1513f267db!8m2!3d23.7905076!4d85.9198555",Exact,
165,Jharkhand ,Bokaro,A A D OCM,1.43,CCL,Coal,G,OC,23.76663448,85.98552098,"Google Maps: https://www.google.com/maps/place/GM+Office,+Dhori+Area,+CCL/@23.7663268,85.9841313,252m/data=!3m1!1e3!4m8!1m2!2m1!1sAMLO-DHORI-OCM+CCL,+DHORI+AREA+%2B+bOKARO!3m4!1s0x0:0xa7f0e95b172fdf8!8m2!3d23.7665723!4d85.9853628",Approximate: Dhori Area GM office,
166,Jharkhand ,Bokaro,SEL. DHORI,2.22,CCL,Coal,G,OC,23.775,85.5417,Updated Form-I for Selected Dhori Group of Mines: http://environmentclearance.nic.in/writereaddata/modification/Extension/Attach_file/0_0_14012016OL8LRUpdatedForm-I_SelectedGroupofmines.pdf,Exact,
167,Jharkhand ,Bokaro,TARMI,0.46,CCL,Coal,G,OC,23.7681,85.5542,Brief Description of Tarmi OCP: http://environmentclearance.nic.in/writereaddata/Online/TOR/13_Sep_2017_172637233ZOMTMVJDAnnexure-BriefSummaryofProject.pdf,Exact,
168,Jharkhand ,Giridih,KABRIBAD,0,CCL,Coal,G,OC,24.1572,86.3006,Pre-feasibility Report of Giridih-Kabribad Group of Mines: http://environmentclearance.nic.in/writereaddata/Online/TOR/13_Apr_2018_220448663CLAEG7ANAnnexure-PrefeasibilityReport.pdf,Exact,
169,Jharkhand ,Giridih,GIRIDIH,0.13,CCL,Coal,G,OC,24.1914,86.2996,"Google Maps: https://www.google.com/maps/place/Giridih+Coalfield/@24.1914002,86.2992661,20z/data=!4m5!3m4!1s0x39f1542affbfdfbb:0x2450e616077bee70!8m2!3d24.1914471!4d86.2995571",Approximate,
170,Jharkhand ,Ranchi,CHURI,0.48,CCL,Coal,G,UG,23.6786,85.0456,"Google Maps: https://www.google.com/maps/place/Churi,+Jharkhand+829209,+India/@23.6779554,85.0417507,16z/data=!4m8!1m2!2m1!1schuri+ug!3m4!1s0x39f4c9de0d2b9091:0x1e064028b30cfafe!8m2!3d23.6790671!4d85.0447798",Approximate: coordinates of Churi area,
171,Jharkhand ,Ranchi,DAKRA,0.51,CCL,Coal,G,OC,23.6582,85.0166,"Google Maps: https://www.google.com/maps/place/Dakra+mines/@23.6637977,85.0028958,2732m/data=!3m1!1e3!4m5!3m4!1s0x39f4cb0f36d5f24b:0x2407990e71b4eec8!8m2!3d23.658211!4d85.0166287",Exact,
172,Jharkhand ,Ranchi,KDH,0.59,CCL,Coal,G,OC,23.6779,84.9971,Brief summary of KDH Extension OCP: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_28_Jul_2014_1530502231Brief-summary-of-project-KDH-Extension-OCP.pdf,Exact,
173,Jharkhand ,Ranchi,ROHINI,2.94,CCL,Coal,G,OC,23.6917,84.9903,Rohini OCP Land Restoration/Reclamation Monitoring 2011: https://www.centralcoalfields.in/sutbs/pdf/env_reclam/Rohini%20OCP-11-12.pdf,Exact,
174,Jharkhand ,Chatra,PURNADIH,2.02,CCL,Coal,G,OC,23.7083,84.9861,Purnadih OCP Land Restoration/Reclamation Monitoring 2011: https://www.centralcoalfields.in/hindi/sutbs/pdf/env_reclam/Purnadih%20OCP-11-12.pdf,Exact,
175,Jharkhand ,Chatra,PIPARWAR,4.32,CCL,Coal,G,OC,23.7225,85.0485,"Google Maps: https://www.google.com/maps/place/Piparwar+alias+Mangard,+Jharkhand,+India/@23.7204883,85.0309053,14z/data=!3m1!4b1!4m5!3m4!1s0x39f4b65cb13f5a17:0xf4936c6e770eeb46!8m2!3d23.7214559!4d85.0480267",Approximate: coordinates of Piparwar area,
176,Jharkhand ,Chatra,ASHOKA,10.52,CCL,Coal,G,OC,23.7297,84.9932,"Environment Clearance, Expansion of Ashok OCP: http://environmentclearance.nic.in/writereaddata/Form-1A/EC/03172017WFRUWATOECLetterofAshoka.PDF",Exact,
177,Jharkhand ,Chatra,AMRAPALI,12.79,CCL,Coal,G,OC,23.8763,85.0183,Pre-feasibility Report of Amrapali OCP: http://environmentclearance.nic.in/writereaddata/Online/TOR/06_Jun_2018_155851367IKMUE10QAnnexurre_PrefeasibilityReport.pdf,Exact,
178,Jharkhand ,Latehar,MAGADH,5.21,CCL,Coal,G,OC,23.8413092,84.98830319,"Google Maps: https://www.google.com/maps/place/Office+of+the+project+officer,+Magadh+project,+Magadh+and+amrapali+area,+central+coal+fields,+coal+india/@23.8347054,84.9747232,1768m/data=!3m1!1e3!4m5!3m4!1s0x39f4b18d18f428b9:0xbe82ea922a98736b!8m2!3d23.848392!4d85.0316158",Exact,
179,Jharkhand ,Latehar,TETARIA KHAR,1.17,CCL,Coal,G,OC,23.809,84.8458,"Google Maps: https://www.google.com/maps/place/Tetariakhar+Project,+Nagra,+Jharkhand+829202,+India/@23.8093071,84.8374544,2728m/data=!3m1!1e3!4m5!3m4!1s0x398b4e8ff6578c13:0xd8cf73f8894dcfc3!8m2!3d23.8090508!4d84.8457156",Exact,
180,Jharkhand ,Latehar,Sikni Coal Project (CAPTIVE),0.228,JSMDCL,Coal,SG,OC,23.7231,84.6125,"Google Maps: https://www.google.com/maps/place/Sikni+Coal+Mines/@23.7229982,84.6034078,2740m/data=!3m1!1e3!4m5!3m4!1s0x398b41d3e3b8cb0b:0xe8bbce61366b4a21!8m2!3d23.7229933!4d84.6121737",Exact,
181,Jharkhand ,Palamu,Kathautia Open Cast Mine (CAPTIVE),0.798,HIL,Coal,P,OC,24.1325,84.0881,Kathautia Mine Corrigendum to Mine Summary,Exact,
182,Jharkhand ,Palamu,RAJHARA,0.01,CCL,Coal,G,OC,24.1642,84.0465,EIA & EMP of Rajhara OCP: http://www.environmentclearance.nic.in/writereaddata/FormB/EC/EIA_EMP/04042016KEWFSJQAEMP.pdf,Exact,
183,Jharkhand ,Pakur,Panchwara North (CAPTIVE),0.1,WBPDCL,Coal,SG,OC,24.4764,87.4682,WBPDCL Pachhwara North Coal Mine: https://wbpdcl.co.in/irj/go/km/docs/documents/PDCL/FINAL/Pages/pachhwara-north-coal-mine.html,Exact,
184,Jharkhand ,Pakur,SIIVLONG OCP,0,ECL,Coal,G,OC,24.7425,87.44166667,"Google Maps: https://www.google.com/maps/search/Simlong+coal+mine++%2B+Pakur+dISTRICT+jHARKHAND/@24.7547991,87.4409835,469m/data=!3m1!1e3",Exact,
185,Uttar Pradesh, Sonbhadra,DUDHICHUA,17.68,NCL,Coal,G,OC,24.1515,82.6929,"Environment Clearance, EAC Meeting Minutes 26th October 2018: http://environmentclearance.nic.in/writereaddata/Form-1A/Minutes/04122018G7NLBO5140thEACMinutes.pdf",Exact,
186,Uttar Pradesh, Sonbhadra,BINA,7.5,NCL,Coal,G,OC,24.17389,82.7493,"Environment Clearance Report, BINA OCP Expansion: http://nclcil.in/env/ecletters/Bina%20EC%207.5%20MTY%208.6.14%20Letter_3.pdf",Exact,
187,Uttar Pradesh, Sonbhadra,KAKARI,2,NCL,Coal,G,OC,24.1709,82.7562,"Google Maps: https://www.google.com/maps/place/NCL+KAKARI+PROJECT/@24.1707806,82.7543477,17z/data=!4m8!1m2!2m1!1sKakri+coal+mine!3m4!1s0x398f255d80a53201:0x84816187bc0d1a1c!8m2!3d24.1707719!4d82.7562486",Exact,
188,Uttar Pradesh, Sonbhadra,KHADIA,13.18,NCL,Coal,G,OC,24.1351,82.7204,"Environment Clearance Report, Khadia Opencast Coal Mine Expansion: http://nclcil.in/env/ecletters/Khd_Letter_of_Environmetal_Clearance.pdf",Exact,
189,Uttar Pradesh, Sonbhadra,KRISHNASHILA,7,NCL,Coal,G,OC,24.1287,82.7625,"Google Maps: https://www.google.com/maps/place/Krishnashila+Open+Cast+Mine,+NCL/@24.1287204,82.7623897,21z/data=!4m5!3m4!1s0x398f2fb2844aa7cf:0xfe125f9d5c9f41cd!8m2!3d24.1287169!4d82.7625263",Exact,
190,Maharashtra ,Chandrapur,NANDGAON INCL,0.08,WCL,Coal,G,UG,19.906,79.3111,"Google Maps: https://www.google.com/maps/place/Nandgaon+Incline+Coal+Mine/@19.9056013,79.2411885,12z/data=!4m5!3m4!1s0x3bd2d475bbee5e91:0x68b83f262e30415e!8m2!3d19.9058798!4d79.3111614",Exact,
191,Maharashtra ,Chandrapur,MAHAKALI,0.08,WCL,Coal,G,UG,19.9468,79.3112,"Google Maps: https://www.google.com/maps/place/Mahakali+Colliery+U%2FG+Mine/@19.9467843,79.3110346,21z/data=!4m5!3m4!1s0x3bd2d4383d2a78f1:0x647c49842c1af2d6!8m2!3d19.9467793!4d79.3111714",Exact,
192,Maharashtra ,Chandrapur,D. RAYATWARI,0.16,WCL,Coal,G,UG,19.9598,79.3109,"Google Maps: https://www.google.com/maps/place/Rayatwari+Colliery,+Chandrapur,+Maharashtra+442402,+India/@19.9599365,79.3053041,16z/data=!3m1!4b1!4m5!3m4!1s0x3bd2d5cacfbd3bfd:0xdd8eb20604c301ea!8m2!3d19.959993!4d79.3106414",Exact,
193,Maharashtra ,Chandrapur,MANNA INCLINE,0.09,WCL,Coal,G,UG,19.9132,79.3019,"Google Maps: https://www.google.com/maps/place/Manna+Underground+Coal+Mine/@19.9131642,79.3015939,20z/data=!4m5!3m4!1s0x3bd2d598aa7ec811:0x2062225c17543021!8m2!3d19.9131592!4d79.3018675",Exact,
194,Maharashtra ,Chandrapur,"HLC NO,1",0,WCL,Coal,G,UG,19.9129,79.3157,"Google Maps: https://www.google.com/maps/place/Hindustan+Lalpeth+Colliery+No.+2+Chandrapur/@19.912879,79.3068266,15z/data=!4m8!1m2!2m1!1shindustan+lalpeth+colliery!3m4!1s0x0:0x8cd1e8f1a164dbcd!8m2!3d19.912879!4d79.3155813",Approximate: coordinates of Hindustan Lalpeth Colliery No. 2,
195,Maharashtra ,Chandrapur,DURGAPUR,2.05,WCL,Coal,G,OC,20.0081,79.2989,"Google Maps: https://www.google.com/maps/place/Durgapur,+Chandrapur,+Maharashtra,+India/@20.0066769,79.2791704,14z/data=!4m5!3m4!1s0x3bd2d5f98b3cfc9d:0xbc5709d1315871d4!8m2!3d20.008498!4d79.2986668",Approximate: center coordinates of Durgapur area,
196,Maharashtra ,Chandrapur,PADMAPUR DEEP,1.08,WCL,Coal,G,OC,20.5,79.3417,Padmapur Extension Deep Opecast Mine TOR Reg.: http://environmentclearance.nic.in/writereaddata/Online/EDS/23_May_2017_1234111331HWNKP7GPadmapurExtn_ToR.pdf,Exact,
197,Maharashtra ,Chandrapur,BHATADI EXPANSION,1.47,WCL,Coal,G,OC,20.0708,79.2507,"Application for Environmental Clearance, Bhatadi OC Expansion Project: http://environmentclearance.nic.in/writereaddata/EIA/51122121121612014_5_20_May_2014_1457489531151-2014.pdf",Exact,
198,Maharashtra ,Chandrapur,HINDUSTAN LALPETH,0,WCL,Coal,G,OC,19.9278,79.3119,"Google Maps: https://www.google.com/maps/place/Hindustan+Lalpeth+Colony,+Chandrapur,+Maharashtra+442403,+India/@19.9279041,79.3096323,17z/data=!3m1!4b1!4m5!3m4!1s0x3bd2d46ccb94f34b:0xa32241a663fc62e!8m2!3d19.9277488!4d79.31205",Approximate: center coordinates of Hundustan Lalpeth area,
199,Maharashtra ,Chandrapur,BALLARPUR UG,0.1,WCL,Coal,G,UG,19.8417,79.3472,"Google Maps: https://www.google.com/maps/place/WCL+Ground,+Ballarpur,+Maharashtra+442701/@19.8416735,79.3444593,17z/data=!4m13!1m7!3m6!1s0x3bd2d2f1ac3d6cbf:0x34b7ec8ee1c1282b!2sColliery+Rd,+Tilak+Ward,+Ballarpur,+Maharashtra+442901,+India!3b1!8m2!3d19.8497374!4d79.3453042!3m4!1s0x3bd2d2928f0e0e87:0xb9525ee31c5eda2a!8m2!3d19.8415313!4d79.3474359",Approximate: coordinates of Ballarpur WCL ground,
200,Maharashtra ,Chandrapur,SASTI  UG,0.11,WCL,Coal,G,UG,19.81455976,79.31699585,"Google Maps: https://www.google.com/maps/place/Sasti,+Maharashtra+442905,+India/@19.8139192,79.3173003,6950m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3bd2d266fa4bf163:0x1d7effaae5a2261e!8m2!3d19.8127868!4d79.3183887 ",Exact,
201,Maharashtra ,Chandrapur,BALLARPUR OC,0.62,WCL,Coal,G,OC,19.8336,79.3452,"Google Maps: https://www.google.com/maps/place/Coal+Mine,+Ballarpur,+Maharashtra+442701,+India/@19.8318235,79.3432142,1406m/data=!3m1!1e3!4m13!1m7!3m6!1s0x3bd2d2ea9f3225a3:0x9771a920a14a7781!2sBallarpur,+Maharashtra,+India!3b1!8m2!3d19.8515663!4d79.3498917!3m4!1s0x3bd2d28f86228bad:0x8cc2a282ec237e3e!8m2!3d19.8334941!4d79.3451473",Exact,
202,Maharashtra ,Chandrapur,SASTI OC,1.69,WCL,Coal,G,OC,19.8125,79.3167,"Sasti Expansion Opencast Coal Mine Environmental Monitoring Report, 01.04.2019 to 30.09.2019: http://environmentclearance.nic.in/writereaddata/Compliance/20_Feb_2020_145550183YFJ59F42SastioCECcompliance.report.pdf",Exact,
203,Maharashtra ,Chandrapur,GOURI EXPANSION,0.63,WCL,Coal,G,OC,19.7874,79.2972," Environment Clearance, Gouri Deep Expansion Mine Project: http://westerncoal.in/sites/default/files/userfiles/GourideepECcompliancereport.pdf",Exact,
204,Maharashtra ,Chandrapur,GOURI DEEP,0.6,WCL,Coal,G,OC,19.7741,79.2902,"Google Maps: https://www.google.com/maps/place/Gowri+Deep+Opencast+Mine/@19.7737549,79.2825077,1407m/data=!3m1!1e3!4m5!3m4!1s0x3bd2cdd58af827ff:0xfbaa033c5231c1e4!8m2!3d19.7741951!4d79.2903444",Exact,
205,Maharashtra ,Chandrapur,PAONI,0.86,WCL,Coal,G,OC,19.78217481,79.35826405,"Google Maps: https://www.google.com/maps/place/Rajura,+Maharashtra+442905,+India/@19.7810053,79.3515713,1294m/data=!3m1!1e3!4m5!3m4!1s0x3bd2cd26cfa5b62f:0x3707bdcc92b7a127!8m2!3d19.7774571!4d79.3662675",Approximate: Rajura area where the mine is located,
206,Maharashtra ,Chandrapur,PAONI-Il,2.11,WCL,Coal,G,OC,19.79217481,79.36826405,"Google Maps: https://www.google.com/maps/place/Rajura,+Maharashtra+442905,+India/@19.7810053,79.3515713,1294m/data=!3m1!1e3!4m5!3m4!1s0x3bd2cd26cfa5b62f:0x3707bdcc92b7a127!8m2!3d19.7774571!4d79.3662676",Approximate: Rajura area where the mine is located,
207,Maharashtra ,Chandrapur,NEW MAJRI - II (A) EXPN,2.5,WCL,Coal,G,OC,20.1157,79.0347,"Google Maps: https://www.google.com/maps/place/Coal+Mining,+Maharashtra+442503,+India/@20.1150443,79.0352432,1991m/data=!3m1!1e3!4m5!3m4!1s0x3bd3226cabf89f73:0x9e1300e2eacba59b!8m2!3d20.1096843!4d79.033429",Approximate,
208,Maharashtra ,Chandrapur,TELWASA,0,WCL,Coal,G,OC,20.0469,79.0817,"Google Maps: https://www.google.com/maps/place/Telwasa,+Maharashtra+442902,+India/@20.048361,79.0756636,1418m/data=!3m1!1e3!4m5!3m4!1s0x3bd321195e234d97:0x30bef3c4e6eee1!8m2!3d20.0464052!4d79.0816288",Approximate: coordinates of Telwasa area,
209,Maharashtra ,Chandrapur,"AMALG, YEKONA I& II",0.35,WCL,Coal,G,OC,20.2489,78.9458,"Brief of Project Report for Amalgamated Yekona-I & II OC, 2015: http://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=oK9SlLBO4W2hq9mJoe9rXATD2OzbyLMtHe80EbXtrI9qxnwoKcamhwRJBQx/Bef9/cGcnD9uvhAUHSpnZzF7o2cBEE55ZYEyrlohCoTFaSiUXfLXq61uN4dRzWCgJRBvnJVPZ59SwqJva+8lfw9Jf1rYUnvLPo1lX7iZFPoeRaU=&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzXmG8GlihX6H9UP1HygCn3pCkAF2zPFXFQNqA4krKa1Aw==",Exact,
210,Maharashtra ,Chandrapur,NEW MAJRI UG TO OC,1.2,WCL,Coal,G,OC,20.129,79.0185,EIA & EMP Expansion of New Majri UG to OC: http://environmentclearance.nic.in/writereaddata/EIA/310320208UK371GHFinalemp_31-3-2020.pdf,Exact,
211,Maharashtra ,Chandrapur,DHURWASA,0,WCL,Coal,G,OC,20.06007034,79.08010711,"Google Maps: https://www.google.ca/maps/place/1+%26+2+Mines,+Jamuna+Colliery,+Madhya+Pradesh+484444,+India/@23.1679587,81.9391482,682m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3987cbc96b3d8ca7:0x3bc7f1dcc73e9d34!2sVocational+Training+Center,+Jamuna+Kotma!8m2!3d23.1",Exact,
212,Maharashtra ,Chandrapur,NAVIN KUNADA (A),0,WCL,Coal,G,OC,20.0871,79.0614,"Google Maps: https://www.google.com/maps/place/Ananta+Mahajan+Aata+Chakki/@20.0879775,79.0595646,2801m/data=!3m1!1e3!4m8!1m2!2m1!1snavin+kunada!3m4!1s0x0:0xdf8a17cde2eea826!8m2!3d20.0979191!4d79.0866897",Approximate: coordinates of coal mine near flour mill in Navin Kunada,
213,Maharashtra ,Chandrapur,JUNA KUNADA,0,WCL,Coal,G,OC,20.0669,79.054,Environment Clearance for Expansion of Juna Kunada Opencast Coal Mine Project: http://westerncoal.in/sites/default/files/userfiles/JUNA%20KUNADA%20OC.pdf,Exact,
214,Maharashtra ,Chandrapur,PENGANGA,6.3,WCL,Coal,G,OC,19.8147,79.245,Forests Clearance for Penganga Opencast Mine: http://forestsclearance.nic.in/writereaddata/FormA/Justification/11123125612972M58Justification.pdf,Exact,
215,Maharashtra ,Chandrapur,MURPAR,0.05,WCL,Coal,G,UG,20.554,79.2928,"Environment Clearance, Scheme for Murpar U/G Mine: http://environmentclearance.nic.in/writereaddata/online/EC/120920176P9N5Z5AAnnexure-SchemeofMurparUGExpansionmine_Phase-I_.pdf",Exact,
216,Maharashtra ,Yavatmal,NILJAI DEEP,3.92,WCL,Coal,G,OC,19.9957,79.0825,EIA & EMP for Environment Clearance for Niljai Expansion (DEEP) OC : http://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=AkfW0CbH2J58NlcZHWfvyWWd/vageAU7GCZkERFVwogjt2CCFvSim0RPJDjfODdLpzYxmJPXirjPjqLyZ33v3AnssY2TYCz3lESaStm4Slk=&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzXKUKNiYED19hF6l1JsjsB/b6J7ZR0UGxec5pPkeNg5uw==,Exact,
217,Maharashtra ,Yavatmal,BELLORA-NAIGAON DEEP,0,WCL,Coal,G,OC,19.9597,79.0917,Executive Summary for Public Consultation of Proposed Bellora-Naigaon DEEP Opencast Mine: http://mpcb.ecmpcb.in/notices/pdf/EXE.pdf,Exact,
218,Maharashtra ,Yavatmal,"MUNGOLI NIRGUDA EXTN, DEEP",4.12,WCL,Coal,G,OC,19.8822,79.1081,"Environment Clearance, Summary of Project Report for Mungoli-Nirguda: http://environmentclearance.nic.in/writereaddata/Online/TOR/31_Aug_2016_165739890JVZ3PEM6Annexure-PFR.pdf",Exact,
219,Maharashtra ,Yavatmal,KOLGAON,0.00004,WCL,Coal,G,OC,19.1001,79.8568,Executive Summary for EIA/EMP for Public Hearing/Consultation of Kolgaon OC Expansion Project: http://mpcb.ecmpcb.in/notices/pdf/EIA-KOLGAON.pdf,Exact,
